Start	Stop	Count
  0.000010	  0.000012	  0.000000
  0.000012	  0.000014	  0.000000
  0.000014	  0.000016	  0.000000
  0.000016	  0.000019	  0.000000
  0.000019	  0.000023	  0.000000
  0.000023	  0.000027	  2.000000
  0.000027	  0.000031	  0.000000
  0.000031	  0.000037	  0.000000
  0.000037	  0.000043	  0.000000
  0.000043	  0.000051	  2.000000
  0.000051	  0.000060	  4.000000
  0.000060	  0.000071	  0.000000
  0.000071	  0.000083	  4.000000
  0.000083	  0.000098	  4.000000
  0.000098	  0.000115	 10.000000
  0.000115	  0.000135	  8.000000
  0.000135	  0.000159	 18.000000
  0.000159	  0.000187	 14.000000
  0.000187	  0.000221	 24.000000
  0.000221	  0.000260	 28.000000
  0.000260	  0.000305	 54.000000
  0.000305	  0.000359	 74.000000
  0.000359	  0.000423	110.000000
  0.000423	  0.000498	108.000000
  0.000498	  0.000586	206.000000
  0.000586	  0.000689	226.000000
  0.000689	  0.000811	354.000000
  0.000811	  0.000955	458.000000
  0.000955	  0.001123	640.000000
  0.001123	  0.001322	780.000000
  0.001322	  0.001556	1128.000000
  0.001556	  0.001831	1598.000000
  0.001831	  0.002154	2306.000000
  0.002154	  0.002535	3098.000000
  0.002535	  0.002984	4250.000000
  0.002984	  0.003511	6008.000000
  0.003511	  0.004132	8444.000000
  0.004132	  0.004863	11452.000000
  0.004863	  0.005722	15936.000000
  0.005722	  0.006734	21916.000000
  0.006734	  0.007925	30826.000000
  0.007925	  0.009326	42862.000000
  0.009326	  0.010975	58378.000000
  0.010975	  0.012915	82108.000000
  0.012915	  0.015199	114098.000000
  0.015199	  0.017886	155990.000000
  0.017886	  0.021049	217048.000000
  0.021049	  0.024771	300386.000000
  0.024771	  0.029151	415878.000000
  0.029151	  0.034305	574778.000000
  0.034305	  0.040370	793994.000000
  0.040370	  0.047508	1100482.000000
  0.047508	  0.055908	1517256.000000
  0.055908	  0.065793	2097528.000000
  0.065793	  0.077426	2894764.000000
  0.077426	  0.091116	4000746.000000
  0.091116	  0.107227	5527686.000000
  0.107227	  0.126186	7631794.000000
  0.126186	  0.148497	10527328.000000
  0.148497	  0.174753	14513156.000000
  0.174753	  0.205651	19993740.000000
  0.205651	  0.242013	27529992.000000
  0.242013	  0.284804	37873982.000000
  0.284804	  0.335160	52064704.000000
  0.335160	  0.394421	71487640.000000
  0.394421	  0.464159	98038492.000000
  0.464159	  0.546228	134249630.000000
  0.546228	  0.642807	183534770.000000
  0.642807	  0.756463	250355232.000000
  0.756463	  0.890215	340642144.000000
  0.890215	  1.047616	461971734.000000
  1.047616	  1.232847	624558120.000000
  1.232847	  1.450829	840694852.000000
  1.450829	  1.707353	1126329488.000000
  1.707353	  2.009233	1501304160.000000
  2.009233	  2.364489	1990677852.000000
  2.364489	  2.782559	2624434052.000000
  2.782559	  3.274549	3439663816.000000
  3.274549	  3.853529	4467792616.000000
  3.853529	  4.534879	5747082858.000000
  4.534879	  5.336699	7319605630.000000
  5.336699	  6.280291	9183094170.000000
  6.280291	  7.390722	11324285896.000000
  7.390722	  8.697490	13647676764.000000
  8.697490	 10.235310	15905869908.000000
