Start	Stop	Count
  0.000000	  0.077887	6324713.000000
  0.077887	  0.093464	326.000000
  0.093464	  0.112157	486.000000
  0.112157	  0.134588	832.000000
  0.134588	  0.161506	1528.000000
  0.161506	  0.193807	2570.000000
  0.193807	  0.232568	4458.000000
  0.232568	  0.279082	7650.000000
  0.279082	  0.334898	13232.000000
  0.334898	  0.401878	22834.000000
  0.401878	  0.482253	39382.000000
  0.482253	  0.578704	67524.000000
  0.578704	  0.694444	117110.000000
  0.694444	  0.833333	201484.000000
  0.833333	  1.000000	349524.000000
  1.000000	  1.200000	601002.000000
  1.200000	  1.440000	1036490.000000
  1.440000	  1.728000	1783686.000000
  1.728000	  2.073600	3076572.000000
  2.073600	  2.488320	5290462.000000
  2.488320	  2.985984	9082316.000000
  2.985984	  3.583181	15610474.000000
  3.583181	  4.299817	26811898.000000
  4.299817	  5.159780	45971574.000000
  5.159780	  6.191736	78733406.000000
  6.191736	  7.430084	134628348.000000
  7.430084	  8.916100	229840618.000000
  8.916100	 10.699321	391445504.000000
 10.699321	 12.839185	665044832.000000
 12.839185	 15.407022	1126261794.000000
 15.407022	 18.488426	1900044348.000000
 18.488426	 22.186111	3191557842.000000
 22.186111	 26.623333	5332766614.000000
 26.623333	 31.948000	8856476226.000000
 31.948000	 38.337600	14608817196.000000
 38.337600	 46.005120	23910184874.000000
 46.005120	 55.206144	38789958230.000000
 55.206144	 66.247373	62251906540.000000
 66.247373	 79.496847	98598662614.000000
 79.496847	 95.396217	153683421536.000000
 95.396217	114.475460	234699228956.000000
114.475460	137.370552	349507361550.000000
137.370552	164.844662	505031753650.000000
164.844662	197.813595	705983603862.000000
197.813595	237.376314	956226946932.000000
