#RA Dec weight
351.7103766059 0.2856107977 0.4995629787
351.6731953152 0.0528179452 0.5539177060
351.8901577482 0.3126523945 0.5311409831
351.9533572700 0.3303724491 0.5281367898
351.7856607078 0.0327214553 0.4401371777
351.5311977154 0.1500857566 0.4747912884
351.4931138359 -0.0013852246 0.4759998620
351.8215233543 -0.0902555409 0.1041049585
351.5849970732 0.0686637576 0.4007141590
351.7444354981 -0.0987209561 0.1118466184
351.6127419544 0.0333947106 0.3984375298
351.4669781202 0.0938555299 0.5446680188
351.8153575328 -0.0572301772 0.4096723199
351.6905748054 0.3382776012 0.8143767118
351.5621281529 0.3708084945 0.3839325905
351.3727482345 0.3081974604 0.4420001805
351.7382639370 0.1359311311 0.6491627097
351.8353734697 -0.0521100782 0.5094993114
351.9005279551 -0.0954219889 0.4816664755
351.7078233501 0.3127308769 0.5217612386
352.0531140691 -0.0428790750 0.4315385520
351.9126958327 0.1028027176 0.5094993114
351.5240913426 -0.0939661670 0.4007141590
351.4196207540 0.0333405385 0.7534888983
351.5472214230 -0.0208772078 0.4007141590
351.3937828971 0.0299722054 0.5222585201
351.4369412169 0.3594073553 0.5238073468
351.8619379010 0.2701959208 0.5387670398
351.4683673447 -0.0478449305 0.4759998620
351.9516949060 0.1259331444 0.3928377330
351.4638585905 0.0276762563 0.4325315356
351.7897395794 0.0176330999 0.5424529910
352.0131424464 0.0028634940 0.5514850616
351.6913188021 0.2357244641 0.3912327588
351.5169653578 -0.0068934601 0.5778284073
351.6577647280 0.3597502828 0.3923078477
351.4812264798 0.1492607304 0.5348218083
351.8489495905 0.0045499469 0.4096723199
351.8680374743 0.3288853932 0.4331506491
351.9606425352 -0.0742634909 0.5514850616
351.9757764679 0.0280270569 0.4816664755
351.8718733878 0.1843030268 0.5496801734
351.7517416650 0.2291724309 0.4995629787
351.3752175426 -0.0290763347 0.4347541332
351.9205077896 0.0012202248 0.5152376890
351.5535642069 0.0440781619 0.5778284073
351.3881497517 0.2838400292 0.4420001805
352.0665173372 0.0328023543 0.8793436289
351.9038696119 0.0324317293 0.3928377330
352.0113185771 0.3710203429 0.4125002623
351.9544020321 0.3299372681 0.5281367898
351.7796612244 -0.0540801346 0.4026317894
351.6909033395 0.0073834809 0.5118922591
351.4742735525 0.3263627984 0.5256934166
351.8732929303 0.3617735824 0.1100712270
351.9139733313 -0.0132746083 0.5814934373
351.4355078638 0.1046891174 0.6869951487
351.9981674465 0.3143917824 0.8329055309
351.7120863197 0.0081333389 0.3470835984
351.4619602904 0.3385929471 0.5256934166
351.8837787356 0.1053833278 0.5119881630
351.6822991566 0.1175399491 0.2146500051
351.8066192590 -0.0335281773 0.5067367554
351.8651430319 -0.0394791379 0.4969426990
351.9197231767 0.0405583458 0.3928377330
351.5972389213 0.0205459462 0.5002660751
351.5051785446 0.1145210538 0.4325315356
351.4910467530 0.0385093607 0.4325315356
351.6537021151 0.1586649403 0.4960584939
351.6872302747 0.0956121687 0.5475000143
351.9452920352 0.2157928766 0.5311409831
352.0137338960 -0.0161772029 0.5574666262
351.8017040439 0.1644916706 0.5084689260
352.0484491241 -0.0411312843 0.4315385520
351.9633933712 -0.0567504739 0.5217952132
351.8941824909 0.0930895207 0.4096723199
351.6755614823 0.0201332907 0.5370922089
351.5127230062 0.0374104779 0.4759998620
351.4102674019 0.3464377640 0.3652701974
351.4673507188 -0.0264030006 0.5534914732
351.6411085828 0.1866358789 0.4960584939
351.5511316604 0.3366001607 0.5388002992
351.4926685077 0.0156958476 0.5859137774
351.6580915683 0.3713080109 0.3923078477
351.7075045919 0.0559015719 0.4236921966
351.9382687642 -0.0965048506 0.4080000520
351.4812478614 0.1709659498 0.2051416337
351.3985820128 0.0086124534 0.6964194179
351.4804378145 0.1735857317 0.5348218083
351.6189193355 0.1399137502 0.7218977213
351.8094003288 -0.0779820921 0.4096723199
351.5595945974 0.2343888989 0.3726921976
351.4306438460 0.2569248961 0.7424075603
351.7839730976 0.2381282355 0.5084689260
351.4007214172 0.3099401615 0.5348218083
351.5624307967 0.3094951992 0.5388002992
351.5184562442 -0.0836077847 0.4007141590
351.6302045487 0.1937210518 0.5388002992
351.4147891024 0.2286953714 0.7566490173
351.7724771775 0.2418684754 0.5084689260
351.4229850297 0.0617197220 0.7534888983
351.6727386451 0.2475433975 0.3912327588
352.0533418578 0.1019452614 0.6611465812
351.8218334232 0.2478225749 0.5271410942
351.7846054351 0.3127540295 0.5271410942
351.4804585612 0.0900707666 0.2203925848
351.4840671198 0.0955760488 0.5430102348
351.9085025020 -0.0922833614 0.1223999485
351.8322866137 0.1075960664 0.5424529910
351.5839207090 0.0254518034 0.5019641519
351.8278274531 0.1926008060 0.1120000705
351.9406708507 0.3294548724 0.4213044047
351.8196523822 0.1651494082 0.4472553432
351.8883650141 0.2621445565 0.5420898199
351.5604035319 -0.0366886391 0.7991516590
351.5086208657 0.2279052692 0.5238073468
351.6517293442 0.0025187443 0.5539177060
351.8493791005 0.1410339491 0.3400002122
351.7130483618 0.2252902623 0.4909251034
351.9567150363 0.0465648404 0.4816664755
351.7223270917 0.2140155503 0.4917269945
351.9244293286 -0.0216257279 0.4816664755
351.4936158688 0.0270931859 0.5534914732
351.4600139714 0.1124127439 0.4988529980
351.9169580760 0.3521556803 0.8069143891
351.5253114923 0.2747000511 0.4822132587
351.5351055907 0.1870451896 0.4309857488
351.6364103705 -0.0878760889 0.4236921966
351.9772267865 -0.0283503156 0.4080000520
351.9025217752 0.0120706147 0.3928377330
351.9380764631 0.0634566916 0.5152376890
351.5854453710 -0.0844633141 0.5475000143
351.4282350388 -0.0594487763 0.4325315356
351.7898402426 0.2215675688 0.5084689260
351.5654895301 -0.0355781390 0.5002660751
351.8986715000 0.2803469913 0.5311409831
351.5551990933 0.2776948454 0.5359438658
351.5081007861 0.0948020132 0.4325315356
352.0562397417 0.1784000090 0.9399664402
351.8345030556 0.1803092760 0.4520002604
351.4698392412 -0.0139220254 0.5534914732
351.4850416249 0.1087417687 0.2203925848
351.9599772887 -0.0484250034 0.4080000520
351.6237897205 0.2194561892 0.4960584939
351.7503935086 0.3418581658 0.3400002122
351.7242416260 0.1362845509 0.7181968689
352.0219498347 0.1947227901 0.5261279941
351.7509235085 0.0623015298 0.3470835984
352.0109495253 0.3156918095 0.8329055309
351.5630011470 0.2478376079 0.4848181009
352.0598260044 0.0769231856 0.8793436289
352.0051128872 0.2660631014 0.6329603791
351.8155007365 -0.0721831149 0.4096723199
351.5497881597 -0.0633779103 0.5002660751
351.5961319287 0.3592548304 0.0975640491
351.9561060861 0.2226195333 0.4956811965
351.9433488251 0.2249839205 0.5311409831
352.0501595805 0.2159202435 0.8329055309
351.6473334980 0.3314041676 0.4909251034
351.4816421818 0.3518538699 0.4822132587
351.9129492009 0.0646270070 0.4969426990
351.9221869934 -0.0151861656 0.5814934373
351.4869456689 0.0906601139 0.1104786918
351.9042988509 0.2580157376 0.4331506491
351.3929174089 -0.0913837493 0.1104786918
351.5992038025 0.2564527485 0.5388002992
351.6579489711 0.0627262970 0.5118375421
351.8495450028 0.1152548198 0.2141624540
351.4518245224 0.1677352005 0.6910076141
351.4073546675 0.0275982872 0.7605183125
351.8777869039 -0.0292638650 0.3928377330
351.9773602314 0.3069602769 0.4213044047
351.8459968444 0.0968778070 0.5144783854
351.8038626738 -0.0791736920 0.5119881630
351.6376587896 0.0954097022 0.5002660751
351.3800132713 -0.0182857742 0.4347541332
352.0489254283 0.0267379328 0.8793436289
351.9701435815 -0.0099329144 0.4080000520
351.6619719328 0.0532333919 0.5475000143
351.7724601412 -0.0455665018 0.5144783854
351.4599043809 0.0472689698 0.3088000715
351.3931211325 0.3598412950 0.4775902331
352.0121570549 -0.0151766637 0.4478050470
351.5758643320 0.1238474656 0.4759998620
351.7639410803 0.1611426469 0.4995629787
351.7704572412 0.3261074456 0.4520002604
351.6513984876 0.2761437264 0.3912327588
351.5986646881 0.0482222944 0.5019641519
351.7363730443 -0.0290606871 0.5283372402
351.9875088791 -0.0149856015 0.5217952132
351.4638632472 0.2722049380 0.4747912884
351.9460358640 0.0951686755 0.3928377330
351.6927151595 0.0437041745 0.5370922089
351.8621998869 0.2887569291 0.5387670398
351.6169486693 0.1905957619 0.4412362278
351.4973033395 -0.0194914440 0.4759998620
351.6337433899 0.2205111523 0.4960584939
351.8070731019 0.1867380504 0.5084689260
351.8900774348 0.0354781476 0.5094993114
351.9532689002 0.2647801492 0.4926708639
351.5743793074 0.2536977099 0.5359438658
351.7455455895 0.0493120756 0.3470835984
351.9829694307 0.3680133396 0.5252288580
351.6365858734 0.2011376155 0.4960584939
351.7213266887 0.0513089440 0.5118922591
351.9210159862 0.0278871504 0.3928377330
351.7163619904 0.2085066129 0.4909251034
351.4618803288 0.1589227347 0.5052773952
351.7142879529 0.2678288404 0.4995629787
351.7929435207 -0.0493662147 0.5067367554
351.9392686095 0.3025148707 0.4926708639
351.3774583181 0.0728811739 0.4629229605
351.9348052237 -0.0179771840 0.5853464603
352.0270860454 0.0480099058 0.2174751610
351.9681933304 0.2870195764 0.5192946792
351.5286252922 0.2363070850 0.5256934166
351.4092947071 0.2836765430 0.5348218083
351.4034657056 0.2192966387 0.6239103675
352.0568772698 0.0218081680 0.8793436289
351.8903780412 0.0541808609 0.5094993114
351.8487637278 0.2662224383 0.5496801734
351.7063353674 -0.0076286328 0.4547512531
351.7750133272 0.2294092815 0.5084689260
352.0087218232 0.1280877418 0.5853464603
351.4322721651 0.3739357323 0.0928215981
351.8418905370 0.2063388492 0.5271410942
351.9128141552 0.2086943644 0.2190103978
352.0610822155 0.2909338769 0.1048235968
351.9465418006 0.2618678245 0.3856099844
351.7098626287 0.2284081827 0.4909251034
351.9579027650 0.0489547766 0.4816664755
351.5598208099 0.3617268870 0.4960584939
351.8028003871 0.2656532365 0.4520002604
351.7803774748 0.2580184328 0.4472553432
351.6338369507 -0.0785479118 0.5370922089
351.6290444163 0.0288908633 0.5118375421
351.9126637969 0.0426939784 0.3928377330
351.5171158514 0.0342213038 0.4759998620
351.4279763984 0.2502760565 0.6910076141
351.8937363223 0.2126017096 0.5387670398
352.0119199486 0.0285149182 0.5217952132
351.7352497246 0.0581387512 0.4547512531
352.0191242848 0.3126836832 0.8329055309
351.5698721668 0.1985125483 0.3726921976
351.8563055079 0.2520267216 0.5496801734
351.3883728414 0.2755927029 0.4420001805
352.0615331832 -0.0536091326 0.1096615568
351.7260987851 -0.0810076941 0.4401371777
351.8061432454 0.0953388498 0.5283372402
351.5312100309 -0.0283239946 0.4007141590
351.7382216287 -0.0682139460 0.4401371777
351.6411037762 0.3049429156 0.3912327588
352.0623121764 0.1022930741 0.9830235839
351.5082487844 0.3688056228 0.0947076604
351.7135595121 0.2446068416 0.4917269945
351.8726980718 -0.0209845373 0.4969426990
351.4608493025 0.1872888893 0.5875729918
351.4440876714 0.2029277037 0.6910076141
351.9368684597 0.3383279158 0.5192946792
352.0653856922 -0.0035463628 0.1096615568
351.6689946424 0.1373953359 0.6293969750
351.4165026376 0.1254999768 0.5763229728
351.7073535343 -0.0641112188 0.5283372402
351.7912665291 -0.0107016015 0.5144783854
351.8543785048 0.2601087060 0.5406959057
351.6375460794 0.2681814589 0.4833517373
351.6981512415 -0.0927066313 0.0882000625
352.0053481559 -0.0193666347 0.5514850616
351.5402126242 0.3197841643 0.5359438658
351.4639315832 0.2430835529 0.3652701974
351.9657018773 0.2117656398 0.4956811965
351.6361354209 0.2621746052 0.0994191393
351.9415409848 0.3151551895 0.8069143891
351.8869741587 0.2248324104 0.4286958277
351.5710955238 0.3528171943 0.3839325905
351.4612165843 0.0173090601 0.4968824685
351.4938143824 0.3282230478 0.3726921976
351.5954986667 0.2970312411 0.3839325905
351.9908030830 0.2932688419 0.5281367898
351.8667258704 -0.0063506010 0.5094993114
351.5702957546 0.1354399732 0.7018364668
351.7997173370 0.0364532503 0.5424529910
351.7811437935 -0.0643919496 0.5067367554
351.4770725497 -0.0236474700 0.5859137774
351.9723253898 0.0168343037 0.5853464603
351.4074509905 0.2754414624 0.4420001805
351.9081767863 0.1412180348 0.7288600802
351.6686142668 0.1298401044 0.5118375421
351.8060399828 0.0009395577 0.4026317894
351.7883805591 0.1059831778 0.4589302242
351.6698237163 0.3658866582 0.3923078477
351.8895111276 0.1569543667 0.5496801734
352.0327869181 0.1846861581 0.5281367898
351.9907703569 0.2424061331 0.5192946792
351.5623435267 0.3373979027 0.4960584939
351.7411159495 0.1611197525 0.1991114914
351.4183938553 0.1293418713 0.5638869405
351.9196513753 0.1699594916 0.5387670398
351.4404282763 -0.0190138039 0.4325315356
351.4081277182 0.1806029504 0.5763229728
351.5332957177 -0.0764149019 0.4007141590
351.9776474245 0.0121861105 0.5303999782
351.6330214711 -0.0862471906 0.4236921966
351.5309629487 -0.0800994770 0.4007141590
351.7545881736 0.2492735599 0.4220688939
351.9103865864 0.0562065370 0.4969426990
351.6052577533 0.0880997213 0.4007141590
351.6160844641 -0.0937544571 0.5370922089
351.3767493357 0.3000069317 0.4420001805
351.4365879814 0.1141728256 0.6869951487
351.8009609232 0.0113499548 0.5424529910
351.4561967772 0.0726629178 0.5963026881
351.9994889023 -0.0642991793 0.4478050470
351.4095128994 -0.0702319440 0.4325315356
351.5333752575 0.1514377351 0.2023426741
351.4230801411 0.0436572277 0.7534888983
351.7778746493 0.3417208959 0.5271410942
351.9592060684 -0.0676783898 0.5217952132
351.8642087491 0.2239424616 0.5496801734
351.9653470747 0.0501467458 0.4816664755
351.9173154527 0.1703433585 0.5387670398
352.0040766341 0.3028202593 0.8329055309
351.4419567753 0.2978912568 0.4747912884
351.7341552874 0.2237515376 0.3923078477
351.6238302077 0.2329597780 0.4960584939
352.0353059958 0.1313895882 0.4700556099
351.6268265823 -0.0935016201 0.5370922089
351.8452687777 -0.0645976032 0.4969426990
351.8346983762 0.1849791661 0.4520002604
352.0113796152 0.2817603933 0.9399664402
352.0143365791 0.0511956404 0.4080000520
351.7350813122 -0.0469934705 0.4401371777
351.4670289091 0.3603986722 0.1095210761
351.7932883156 -0.0180854342 0.4026317894
351.4336436353 -0.0218099640 0.4325315356
351.4820378134 0.2211718284 0.3652701974
351.5285934910 0.3485164735 0.5359438658
351.5046571346 0.1970475117 0.1095210761
351.8996316009 0.1611612389 0.5406959057
351.7229540615 0.0363761492 0.1958677173
351.6715894855 0.0241263991 0.5370922089
352.0330559799 -0.0052841123 0.8793436289
351.9123876307 0.1073500762 0.5094993114
352.0089249198 0.1912868115 0.5192946792
351.7034019167 -0.0603271001 0.4589302242
351.7876000758 -0.0721174146 0.8123040795
351.5263241112 0.2801457876 0.4822132587
351.4901573718 0.1853813189 0.3652701974
351.8994777126 0.3358479935 0.4956811965
351.4236905118 0.3235240175 0.3652701974
351.9944396144 -0.0467013616 0.4478050470
351.8058133252 0.0763530798 0.4401371777
351.8317247788 0.2806725713 0.5496801734
351.9223579790 0.3012165043 0.3856099844
351.3726858109 0.0816196419 0.1176368892
351.4690312439 -0.0906086319 0.4759998620
351.5105666332 0.1768601804 0.3652701974
351.4005193052 -0.0177638305 0.4347541332
352.0221290124 -0.0781759130 0.4315385520
351.4537376058 0.0412770965 0.5963026881
351.6543373484 0.2162314833 0.3839325905
351.8932677500 0.3426341997 0.4956811965
351.8894630120 0.3719251124 0.3856099844
351.4372638358 -0.0291007308 0.4325315356
352.0295788934 0.1960615499 0.5193326473
351.4560161502 0.3514512388 0.4309857488
351.4034274622 0.1689308812 0.5763229728
351.6513329504 -0.0672579215 0.5118922591
351.7803702277 0.2476708608 0.1072551459
351.6471783068 0.2684079466 0.3912327588
351.8114290996 0.0978856882 0.4401371777
351.3991974112 0.2956949668 0.4420001805
351.9552712741 0.2909305942 0.8069143891
351.4488535229 0.0898474275 0.6869951487
351.7314944559 0.3353603877 0.4472553432
351.9013952390 0.3323842368 0.3856099844
351.7929403398 0.0033884364 0.5424529910
351.6010846434 0.1163266860 0.5216740966
352.0520891944 0.1679615762 0.9406370521
351.7803168393 0.2755616253 0.3400002122
351.9716735570 0.0926962810 0.5814934373
351.5960639093 -0.0393272606 0.5118375421
351.3876604316 0.1982944667 0.4629229605
351.8079422364 -0.0102384417 0.5067367554
351.4687714507 0.2602991978 0.4747912884
351.3821956283 0.3541941223 0.4420001805
351.4292392081 0.2452050519 0.6910076141
351.3773502461 0.0739934599 0.4629229605
351.4380101294 0.2030057697 0.6910076141
351.9316831101 0.3320521074 0.5192946792
351.5405601816 0.0980501295 0.5859137774
351.8525720174 0.2958717833 0.5387670398
351.4948678346 0.3315607993 0.3726921976
351.4827786349 0.2551495181 0.4747912884
351.6648327801 0.3648063595 0.3923078477
351.5208420435 0.0263694336 0.4759998620
351.8200598390 0.3095741097 0.4407410324
351.6405214669 0.1224951677 0.5002660751
351.8301613606 -0.0823858039 0.4969426990
351.6552800906 0.3718687347 0.3923078477
351.8773108015 0.1880365212 0.5496801734
351.7650032986 0.1734420911 0.4995629787
351.5509029923 -0.0718571546 0.5002660751
352.0350692297 0.2367461145 0.9399664402
351.6455657615 0.2704485314 0.4887968004
351.6902971177 0.0553344537 0.5370922089
351.5022354498 -0.0195989779 0.4759998620
351.5681788543 0.3155970874 0.5388002992
351.4297559973 0.2742109846 0.7424075603
351.7806558951 0.1219463541 0.3470835984
351.7301372790 0.1145413103 0.5370922089
351.4052015454 0.3425178321 0.3652701974
352.0464037290 0.1499740134 0.8338046670
351.4227189783 -0.0808871400 0.4325315356
352.0761699943 -0.0068279536 0.1096615568
351.6801605294 0.1298962023 0.6992590427
351.6493237037 0.1480229726 0.5388002992
351.8324040571 0.0314733653 0.4026317894
352.0107552055 -0.0125224735 0.4478050470
351.6792418573 0.2114984861 0.4887968004
351.4011573264 0.3422115299 0.4775902331
352.0757627099 0.2224487428 0.2116559893
351.9312463472 -0.0644624655 0.5303999782
351.4579827463 -0.0353856457 0.5534914732
351.7887355999 0.3187177088 0.5271410942
351.5906764684 0.0455200845 0.4007141590
352.0557083782 0.0488704225 0.8793436289
351.9601464209 0.1074256860 0.5152376890
351.5197159681 0.0381227469 0.4759998620
351.6484349431 0.0806750469 0.5118375421
352.0504133113 0.3312860432 0.1048235968
351.3959456457 -0.0912705864 0.4325315356
352.0730908930 0.0789981449 0.8793436289
351.6120862272 0.2069566337 0.5388002992
351.8296744914 0.1119327150 0.5424529910
351.9032405712 0.0749251529 0.5094993114
351.9180514276 0.2178011876 0.5420898199
351.9060012459 0.2044678355 0.5387670398
351.4874724130 0.2478512552 0.4747912884
351.9620704370 0.1708954508 0.5311409831
351.7375567611 0.0055390803 0.4589302242
351.5452033915 -0.0790145216 0.5002660751
351.5829313862 0.3543989606 0.3839325905
351.7387745413 0.2053239887 0.3923078477
351.4073258598 0.2783523111 0.4420001805
351.6534773525 0.0733269173 0.5118375421
351.5635786122 0.2357325695 0.4848181009
352.0435174360 0.0226247283 0.8793436289
351.5969588169 0.1173652834 0.5216740966
351.4577124059 -0.0007085993 0.4325315356
351.6298215309 0.0729466565 0.5002660751
351.5888536640 0.1296145311 0.5778284073
351.9820007832 -0.0875408296 0.4478050470
351.5387854327 0.1268037346 0.5534914732
351.5353007205 -0.0269091842 0.4007141590
351.8828984405 0.2330318119 0.4286958277
351.5953118310 0.0839849018 0.4007141590
351.4147648679 -0.0797694046 0.4325315356
351.9716004847 0.2100476661 0.3856099844
351.4436415429 -0.0772641044 0.5859137774
351.9561609157 -0.0453483396 0.4080000520
351.5371549395 0.2005394344 0.5256934166
351.7294059779 0.0881328448 0.5118922591
351.8289871796 0.1086063072 0.5424529910
351.8050856450 0.0579136446 0.5424529910
351.8419924515 0.0663665111 0.4026317894
351.4648176147 0.3695634131 0.1095210761
351.8640746920 0.2714419147 0.5387670398
351.9602738370 0.0543612524 0.4816664755
351.4081163920 0.1934765581 0.6239103675
351.6825528124 0.0160917560 0.5370922089
351.3736030551 0.2374329978 0.4629229605
351.9873580317 0.0038723121 0.4080000520
351.6420699293 0.1724413948 0.2096899450
351.5834798353 -0.0047129478 0.5002660751
351.4206477343 0.1865627230 0.6128711700
351.9769369493 0.2794582552 0.4213044047
351.7524103731 0.3666003251 0.0864000469
351.6519870060 0.3614430176 0.4917269945
351.7602599545 0.0963241329 0.4547512531
351.9032729066 0.0337621520 0.4969426990
351.4426879959 0.0708403582 0.6869951487
351.8156803422 -0.0531895253 0.5119881630
351.7820281457 0.1108094331 0.3470835984
351.8084591912 -0.0449022692 0.5119881630
351.8626740252 0.2586432220 0.5406959057
351.9419818393 -0.0049039091 0.5853464603
351.4117708490 0.2880194515 0.5348218083
352.0517104330 0.2950362167 0.1048235968
351.5015268759 0.2849688810 0.5256934166
351.3864597286 0.0278478224 0.4629229605
351.4764673900 0.0217176680 0.4325315356
351.6714902921 0.3587708688 0.3923078477
351.9108999245 0.3172687855 0.4956811965
351.5556505506 0.1060838154 0.4759998620
351.9712961719 0.2089018179 0.3856099844
351.4238721088 0.1984798131 0.7566490173
351.7731490200 0.2733954361 0.4472553432
351.9014494580 0.3255706934 0.4956811965
351.6947797358 0.3204852414 0.4995629787
351.3949545507 -0.0168216186 0.4347541332
351.6822946782 0.2571200990 0.4909251034
351.9934086260 0.2760214415 0.5281367898
351.4474691841 0.0399888488 0.7478599548
351.8383460371 0.0743064618 0.5144783854
351.8397772077 0.0738451279 0.5144783854
351.8623529037 -0.0818297030 0.3928377330
351.6026606414 0.3520579505 0.4887968004
351.9645302474 0.0359382139 0.4816664755
351.6795823771 0.2495394768 0.3912327588
351.8287645200 0.0555756188 0.5144783854
352.0061452990 0.1901111370 0.2050511837
352.0163376642 0.1081455210 0.5303999782
351.7936797712 0.3099519303 0.5271410942
351.7485618967 0.0348667199 0.3470835984
351.4923511081 0.0667246925 0.4325315356
351.4854147328 0.1580812544 0.5348218083
351.8356632663 0.3061883258 0.5406959057
351.5367258017 0.3542115356 0.4412362278
351.5711004788 0.3543084906 0.3839325905
351.9740709902 -0.0079898828 0.4080000520
351.4219263521 0.1705069067 0.6128711700
351.7385878299 0.2929391417 0.5084689260
351.5695825790 0.2752732968 0.4412362278
351.3847728173 0.1305642877 0.4629229605
351.9991886815 0.3617137490 0.5193326473
351.7590967882 0.0141528687 0.5283372402
351.9021826289 0.1261482656 0.5119881630
351.9121547071 0.2864171691 0.5311409831
351.3903377315 0.0911820590 0.4629229605
351.3790922702 0.0958870629 0.4629229605
351.7129703523 -0.0110108096 0.3470835984
351.4175041111 0.0270447494 0.7534888983
351.6972891368 0.0101991172 0.5118922591
351.4406350405 0.2597019857 0.7424075603
351.5368118051 0.3611787622 0.4412362278
352.0264423833 0.1289651890 0.5303999782
351.7356159379 -0.0599021188 0.4401371777
351.4664659067 0.1889639123 0.5348218083
351.9116334014 0.2267073607 0.5420898199
351.6237589377 -0.0433264419 0.1076676622
351.6562255502 0.2886089424 0.3912327588
352.0434257066 0.2013503280 0.8329055309
351.6045481169 0.2684629687 0.3839325905
351.6152910636 0.2255183276 0.5388002992
351.8964990686 0.3207279016 0.4956811965
351.8584363352 -0.0350628280 0.1041049585
351.9276675151 0.2790605861 0.4956811965
351.6335153243 0.0522030638 0.5118375421
351.5230477663 0.2308621474 0.5256934166
351.9056882112 0.2906006183 0.5311409831
351.5006015276 0.1776908550 0.3652701974
351.6647381053 0.3300626072 0.3923078477
351.4394728858 0.3340190213 0.4747912884
351.7634914901 0.1608845140 0.3923078477
352.0135334424 0.3422501383 0.5193326473
351.6398861626 0.0541677614 0.5118375421
351.8853608546 -0.0112083940 0.3928377330
351.6789660694 0.0351573834 0.5370922089
351.6692399124 0.2415830780 0.3912327588
351.7476978732 -0.0943964562 0.1118466184
351.8879794073 0.2957023481 0.4331506491
351.7443460482 0.1261971747 0.4236921966
351.5941607000 0.0071787951 0.3984375298
351.8631460464 -0.0628651739 0.3928377330
351.5548620352 0.2878255140 0.5359438658
351.8554773420 -0.0885024250 0.3928377330
351.5734337762 0.0268277942 0.4007141590
351.3779689102 0.1358252871 0.1176368892
351.8064827162 0.1534909766 0.5084689260
351.5176171527 0.2305230219 0.4309857488
351.6107986277 0.0138679164 0.5118375421
351.8303988873 0.2064190940 0.4520002604
351.9777116581 0.1676983843 0.4956811965
351.5337006137 0.0086087132 0.5778284073
351.8930819822 0.1949487012 0.5406959057
351.9083682709 0.3076615371 0.4956811965
352.0149323532 0.1213897983 0.5853464603
351.7478454379 -0.0676971729 0.5424529910
351.7096314823 0.2350531031 0.1991114914
352.0575275931 0.0208447392 0.8793436289
351.8192164601 -0.0640619084 0.4096723199
351.8227530682 -0.0989597545 0.1041049585
351.9541316974 0.2689212939 0.4926708639
351.8864030560 -0.0103830568 0.3928377330
351.4241174900 0.1118967808 0.6120681167
351.5832506110 0.2392348017 0.5359438658
351.5901976579 0.3336636399 0.3839325905
351.6969357692 0.0295801919 0.4236921966
352.0473703935 0.0407901046 0.8793436289
351.7803090571 0.3235300100 0.5271410942
351.8887669823 0.3094799205 0.5311409831
351.6110858111 0.2487268452 0.1121259034
351.6353618246 0.1990361554 0.4960584939
351.8528254944 0.2660311826 0.4286958277
352.0200206677 0.1000298982 0.5303999782
351.3863979116 0.0255337038 0.5222585201
352.0430979330 0.1429654578 0.7194678187
351.7558407056 0.1170161458 0.5118922591
351.7229118250 -0.0608862086 0.5283372402
352.0720172976 -0.0482462432 0.1096615568
351.7886115827 0.0086161368 0.5424529910
351.5154469523 0.3577105793 0.5359438658
351.4789793179 0.2137693661 0.3652701974
351.7708780204 0.0081433963 0.4401371777
351.9017680763 -0.0519121639 0.5814934373
351.4800808807 0.3342815704 0.4822132587
351.5590873873 0.2728634461 0.5359438658
351.5968727359 0.2023290728 0.4412362278
351.6326096213 0.0524132899 0.5118375421
351.9340056183 0.1117793913 0.4969426990
351.4217407602 0.2165168671 0.7566490173
351.5976144877 0.3049162810 0.3839325905
351.4080943061 0.3334283160 0.4775902331
351.7522569998 0.1956470964 0.4995629787
351.4280053619 0.0290659302 0.6869951487
